"","OTC","Branded","RX"
"79",0.110246191405374,0.0817492084778878,0.808004600116738
"80",0.113876140662648,0.0989568049750041,0.787167054362348
"81",0.115805588559037,0.067681871790793,0.81651253965017
"82",0.104911895711116,0.0609339512376085,0.834154153051275
"83",0.1130694701973,0.0476749895817552,0.839255540220945
"84",0.118967000317237,0.0634971839123936,0.81753581577037
"85",0.119240044860625,0.0722700693727526,0.808489885766623
"86",0.0986262061144412,0.0897670381337531,0.811606755751806
"87",0.0851657213773812,0.0791968237141217,0.835637454908497
"88",0.108645882071156,0.0936949472411889,0.797659170687656
"89",0.118846472919321,0.0912459544236828,0.789907572656996
"90",0.104966121478833,0.0727725963063321,0.822261282214835
"91",0.10543461145367,0.080945841550567,0.813619546995763
"92",0.0785188850322101,0.0432646601249995,0.87821645484279
"93",0.188539247585106,0.156678398703891,0.654782353711003
"94",0.11513206268955,0.0794064818455129,0.805461455464937
"95",0.111432888023696,0.0724324648468691,0.816134647129435
"96",0.117399515150874,0.214792151926869,0.667808332922257
"97",0.197636408825506,0.166991626029175,0.63537196514532
"98",0.110077860249218,0.0567285651779911,0.833193574572791
"99",0.1246764790442,0.0687128936012184,0.806610627354582
"100",0.110446522815689,0.0780357150714921,0.811517762112819
"101",0.121912532942264,0.0849461799115474,0.793141287146188
"102",0.114849410670347,0.0716373742571139,0.813513215072539
"103",0.10446384994863,0.0573994997832076,0.838136650268162
"104",0.124879782309037,0.0766185724220457,0.798501645268917
"105",0.133718445177445,0.0851421916651805,0.781139363157374
"106",0.10918602720406,0.102849889636735,0.787964083159205
"107",0.131367519859314,0.141401173820973,0.727231306319713
"108",0.108956951778413,0.088006319329057,0.80303672889253
"109",0.272966840913188,0.309202924845441,0.417830234241371
"110",0.123027104037781,0.106636788123446,0.770336107838773
"111",0.144208321401626,0.0904958161563011,0.765295862442073
"112",0.155071844932425,0.0238698208468002,0.821058334220774
"113",0.121343425809126,0.0729532284126837,0.80570334577819
"114",0.12649172600655,0.10921168733171,0.76429658666174
"115",0.131566878001139,0.0904194901593651,0.778013631839496
"116",0.186521359008393,0.193736338057728,0.619742302933879
"117",0.174930574348704,0.313143299631189,0.511926126020107
"118",0.120386786781494,0.071983140799126,0.80763007241938
"119",0.105768209708361,0.0731231536887276,0.821108636602911
"120",0.106750418753618,0.069404301797437,0.823845279448945
"121",0.122071756217163,0.0734086328411735,0.804519610941664
"122",0.102436191372214,0.0646169686073861,0.8329468400204
"123",0.0970049038333117,0.0726794947376399,0.830315601429048
"124",0.116177746617709,0.062254643772462,0.821567609609829
"125",0.128483176053191,0.060772050911981,0.810744773034828
"126",0.11568517272659,0.0641961910900395,0.82011863618337
"127",0.110371811781629,0.0667085750120504,0.82291961320632
"128",0.107922306836443,0.079870840227473,0.812206852936084
"129",0.117627019709557,0.0723362917028047,0.810036688587638
"130",0.121729373212055,0.083643290957219,0.794627335830726
"131",0.10957960068776,0.0822473704623026,0.808173028849938
"132",0.123580076909677,0.0563403322478964,0.820079590842427
"133",0.111058214375575,0.0824396641573234,0.806502121467101
"134",0.104013278928559,0.0751991611033148,0.820787559968126
"135",0.160390960204171,0.189707878262486,0.649901161533343
"136",0.129089195221192,0.101672101882156,0.769238702896652
"137",0.118028980973195,0.059275498018463,0.822695521008343
"138",0.213835718649228,0.190090536959391,0.596073744391381
"139",0.108651176928727,0.0532376312020147,0.838111191869258
"140",0.113905010672161,0.061181104057338,0.824913885270501
"141",0.104964523484423,0.0631805973489301,0.831854879166647
"142",0.128051728176244,0.083416300494386,0.78853197132937
"143",0.12683799860123,0.080256964197585,0.792905037201186
"144",0.123683659528234,0.0584976694516172,0.817818671020149
"145",0.129779606812292,0.0734552564986018,0.796765136689106
"146",0.115977423148079,0.209154942918733,0.674867633933188
"147",0.108685800416745,0.0619176701227163,0.829396529460538
"148",0.110628249486225,0.0524474524193424,0.836924298094433
"149",0.146856474952972,0.117962012976778,0.73518151207025
"150",0.124981088468829,0.0730791828490051,0.801939728682166
"151",0.129742572403096,0.0849646358133282,0.785292791783575
"152",0.208314337880752,0.102226504623343,0.689459157495906
"153",0.117055153616824,0.0708787838645093,0.812066062518667
"154",0.11905401380688,0.0720649227496666,0.808881063443454
"155",0.136399446565505,0.0642613505443906,0.799339202890104
"156",0.132142185907287,0.0618117315938179,0.806046082498896
"157",0.120598624162509,0.0516669066521578,0.827734469185333
"158",0.127330872701456,0.0634438298639537,0.809225297434591
"159",0.130539989351199,0.0659957558616777,0.803464254787123
"160",0.0260273811760462,0.206947040063526,0.767025578760428
"161",0.106462890220473,0.0658565575265217,0.827680552253006
"162",0.115423872591807,0.0885791227791971,0.795997004628996
"163",0.14426916849665,0.0703971418642025,0.785333689639148
"164",0.114282909925582,0.0807033250253144,0.805013765049103
"165",0.132231242508513,0.0830177596893824,0.784750997802104
"166",0.117898817629207,0.091669343621002,0.790431838749791
"167",0.110012017862545,0.0776656555645102,0.812322326572944
"168",0.132046957342256,0.0702318324685038,0.79772121018924
"169",0.115671663190567,0.0743719221022463,0.809956414707187
"170",0.125451804981332,0.0758502298809617,0.798697965137707
"171",0.120256634907534,0.0512531541320032,0.828490210960462
"172",0.127010551033198,0.0758166021346712,0.797172846832131
"173",0.122234481117411,0.0947363431253124,0.783029175757276
"174",0.117614509242659,0.0868579949028011,0.79552749585454
"175",0.101699150429911,0.0754306818446543,0.822870167725435
"176",0.112214813047172,0.0467394810567606,0.841045705896067
"177",0.125648281959014,0.0620555585972008,0.812296159443785
"178",0.167671093833755,0.0965136288576303,0.735815277308615
"179",0.140152331387881,0.114770832750848,0.745076835861271
"180",0.117728300287819,0.0903699289614061,0.791901770750775
"181",0.10702055510739,0.0676152924357493,0.82536415245686
"182",0.118078737885276,0.0821733757958738,0.79974788631885
"183",0.127431077211448,0.0711558852530192,0.801413037535533
"184",0.145388460292709,0.0968325837231129,0.757778955984178
"185",0.132428605666133,0.0876735750940848,0.779897819239782
"186",0.115735558703028,0.0664894653605011,0.817774975936471
"187",0.114859276140068,0.0978475897076815,0.787293134152251
"188",0.115502705228007,0.0692394024569213,0.815257892315072
"189",0.128117502487594,0.0720581776791109,0.799824319833295
"190",0.123634577482846,0.0715126454905765,0.804852777026577
"191",0.130460781248327,0.0847494303901991,0.784789788361474
"192",0.106500653332026,0.0937111978998563,0.799788148768117
"193",0.0734912132544636,0.0719369454830422,0.854571841262494
"194",0.100981010839429,0.0804797291163638,0.818539260044207
"195",0.107236273063363,0.0729317172514144,0.819832009685222
"196",0.106247508683931,0.0588358536244213,0.834916637691648
"197",0.0809272951716298,0.0146144695210937,0.904458235307277
"198",0.113470625322793,0.0578226490894872,0.82870672558772
"199",0.0998818418268426,0.0570492786218309,0.843068879551326
"200",0.10870436060729,0.0895022608093327,0.801793378583377
"201",0.121761436672367,0.0731927978269828,0.80504576550065
"202",0.113213959466128,0.071279079043314,0.815506961490558
"203",0.12500801938819,0.0793646573980898,0.79562732321372
"204",0.118254817588002,0.0651443509616837,0.816600831450315
"205",0.142856670167248,0.0909121733211755,0.766231156511576
"206",0.122416442341067,0.068581967028688,0.809001590630245
"207",0.102984677570953,0.0907665337639997,0.806248788665047
"208",0.100122643631289,0.0752848320089706,0.824592524359741
"209",0.0931672012536644,0.0662180366045658,0.84061476214177
"210",0.118840531397393,0.0838102170402423,0.797349251562364
"211",0.11593554965724,0.0624459884001761,0.821618461942584
"212",0.136899319924514,0.10599865449386,0.757102025581626
"213",0.10235073407478,0.0619678072426203,0.835681458682599
"214",0.110057501025348,0.0851620127791064,0.804780486195546
"215",0.111307628543344,0.0823906791994355,0.806301692257221
"216",0.121695907745938,0.0815824364222067,0.796721655831856
"217",0.12469623535446,0.0838421217156627,0.791461642929877
"218",0.119745233783117,0.0721221248380219,0.808132641378861
"219",0.119892108761026,0.083979395805665,0.796128495433309
"220",0.100774897793724,0.070001965795058,0.829223136411218
"221",0.118873886234021,0.0888879037865841,0.792238209979394
"222",0.129436824379166,0.102979810272114,0.76758336534872
"223",0.0782451746944699,0.0876087271387555,0.834146098166775
"224",0.119396758393383,0.0576337543065694,0.822969487300048
"225",0.0948960711511886,0.0567713041525204,0.848332624696291
"226",0.12025825248869,0.0964842683193766,0.783257479191933
"227",0.171411259266006,0.161806265678811,0.666782475055183
"228",0.10607263747003,0.0761170025520528,0.817810359977917
"229",0.149642241157863,0.122045406947791,0.728312351894346
"230",0.10423771537899,0.0748885318419927,0.820873752779017
"231",0.117769432411678,0.116509575952652,0.76572099163567
"232",0.118289406399991,0.0690513392910814,0.812659254308927
"233",0.154109453543626,0.0883391766012048,0.75755136985517
"234",0.115637825017318,0.0678621167014416,0.816500058281241
"235",0.122284366435093,0.113788087759216,0.763927545805691
"236",0.123766290802999,0.0714085510506588,0.804825158146342
